Issue key,Issue id,Project Manager,Assignee,Status,Priority,Team Leader,Worker,Product Impact,Epic Link,Marketing Need,Business Impact,Customer Interest
SLE-20788,491030,#N/A,mbrugger,In Progress,Could Have,ptesarik,mbrugger,#N/A,SLE-19047,#N/A,#N/A,#N/A
SLE-20786,491028,#N/A,mbrugger,Done,Could Have,ptesarik,mbrugger,#N/A,SLE-16595,#N/A,#N/A,#N/A
SLE-20784,491025,#N/A,ptesarik,Planning,Could Have,ptesarik,#N/A,#N/A,SLE-19043,#N/A,#N/A,#N/A
SLE-20782,491023,#N/A,ykaukab,Blocked,Could Have,ptesarik,ykaukab,#N/A,SLE-19036,#N/A,#N/A,#N/A
SLE-20776,491017,#N/A,iivanov,Blocked,Could Have,ptesarik,iivanov,#N/A,SLE-16558,#N/A,#N/A,#N/A
SLE-20772,491013,#N/A,ykaukab,Done,Could Have,ptesarik,ykaukab,#N/A,SLE-19035,#N/A,#N/A,#N/A
SLE-20770,491011,#N/A,ykaukab,Blocked,Should Have,ptesarik,ykaukab,#N/A,SLE-18477,#N/A,#N/A,#N/A
SLE-20760,491001,#N/A,jones_tony,Blocked,Could Have,mgorman,#N/A,#N/A,SLE-16656,#N/A,#N/A,#N/A
SLE-20758,490997,#N/A,clin,Blocked,Should Have,joeyli,clin,#N/A,SLE-20097,Low,Medium,High
SLE-20750,490987,#N/A,mbrugger,Done,Could Have,ptesarik,mbrugger,#N/A,SLE-19211,#N/A,#N/A,#N/A
SLE-20748,490984,#N/A,joro,Blocked,Should Have,mhocko,#N/A,Medium,SLE-17310,#N/A,#N/A,#N/A
SLE-20737,490904,#N/A,NMoreyChaisemartin,Done,Could Have,hreinecke,NMoreyChaisemartin,Low,SLE-20578,Low,Medium,High
SLE-20735,490902,#N/A,colyli,Done,Should Have,hreinecke,colyli,Medium,SLE-20728,Low,Medium,High
SLE-20729,490895,#N/A,iivanov,Rejected,Could Have,ptesarik,iivanov,#N/A,SLE-16618,#N/A,#N/A,#N/A
SLE-20726,490892,#N/A,ykaukab,Blocked,Could Have,ptesarik,ykaukab,#N/A,SLE-19291,#N/A,#N/A,#N/A
SLE-20723,490889,#N/A,ykaukab,In Progress,Could Have,ptesarik,ykaukab,#N/A,SLE-19032,#N/A,#N/A,#N/A
SLE-20721,490887,#N/A,mbrugger,Done,Could Have,ptesarik,mbrugger,#N/A,SLE-20148,Low,Medium,High
SLE-20718,490884,#N/A,ykaukab,Done,Should Have,ptesarik,ykaukab,#N/A,SLE-17153,#N/A,#N/A,#N/A
SLE-20715,490881,#N/A,ykaukab,Blocked,Could Have,ptesarik,ykaukab,#N/A,SLE-19033,#N/A,#N/A,#N/A
SLE-20713,490879,#N/A,mbrugger,Done,Should Have,ptesarik,mbrugger,#N/A,SLE-20712,Low,Medium,High
SLE-20710,490875,#N/A,ykaukab,Done,Could Have,ptesarik,ykaukab,#N/A,SLE-19046,#N/A,#N/A,#N/A
SLE-20694,490857,#N/A,jmoellers,Done,Must Have,BenniBrunner,jmoellers,#N/A,SLE-20638,Low,Medium,High
SLE-20684,490847,#N/A,#N/A,Done,Should Have,sfent,rmax,#N/A,SLE-20353,Low,Medium,High
SLE-20677,490839,#N/A,SchoolGuy,Planning,Could Have,#N/A,none,#N/A,SLE-20100,Low,Medium,High
SLE-20669,490826,#N/A,#N/A,Planning,Could Have,sreeves1,none,#N/A,SLE-20407,Low,Medium,High
SLE-20667,490824,#N/A,#N/A,Rejected,Could Have,sreeves1,none,#N/A,SLE-20406,Low,Medium,High
SLE-20654,490777,#N/A,pauloac,Open,Should Have,jmcdough,pauloac,Low,SLE-20043,#N/A,#N/A,#N/A
SLE-20377,489913,#N/A,joseivanlopez,In Progress,Should Have,locilka,none,Medium,SLE-18430,#N/A,#N/A,#N/A
SLE-20374,489910,#N/A,ptesarik,Open,Should Have,ptesarik,none,Low,SLE-18272,#N/A,#N/A,#N/A
SLE-20350,489725,#N/A,#N/A,Done,Should Have,sfent,trenn,Medium,SLE-20336,Low,Medium,High
SLE-20302,489544,#N/A,#N/A,Blocked,Could Have,mhocko,none,#N/A,SLE-19925,#N/A,#N/A,#N/A
SLE-20283,489517,holgisms,wagi,Open,Should Have,hreinecke,wagi,Medium,SLE-19245,#N/A,#N/A,#N/A
SLE-20281,489514,holgisms,wagi,Open,Should Have,hreinecke,wagi,Medium,SLE-19244,#N/A,#N/A,#N/A
SLE-20279,489511,#N/A,#N/A,In Progress,Could Have,matz2,none,Low,SLE-17972,#N/A,#N/A,#N/A
SLE-20277,489508,#N/A,jirislaby,Blocked,Could Have,mhocko,none,Medium,SLE-19961,#N/A,#N/A,#N/A
SLE-20273,489503,#N/A,sbradnick,In Progress,Could Have,sreeves1,none,#N/A,SLE-18799,#N/A,#N/A,#N/A
SLE-20265,489490,#N/A,jsikes,Planning,Should Have,kstreitova,jsikes,#N/A,SLE-17856,#N/A,#N/A,#N/A
SLE-20257,489481,#N/A,#N/A,Planning,Should Have,rsimai,#N/A,#N/A,SLE-17309,#N/A,#N/A,#N/A
SLE-20255,489479,#N/A,#N/A,Blocked,Should Have,locilka,#N/A,#N/A,SLE-17309,#N/A,#N/A,#N/A
SLE-20253,489476,#N/A,mcepl,Open,Should Have,kstreitova,none,Low,SLE-18038,#N/A,#N/A,#N/A
SLE-20250,489473,#N/A,#N/A,Blocked,Should Have,locilka,none,Low,SLE-18065,#N/A,#N/A,#N/A
SLE-20248,489471,#N/A,afeijoo,In Progress,Must Have,BenniBrunner,afeijoo,High,SLE-18768,#N/A,#N/A,#N/A
SLE-20246,489469,#N/A,ataschner,Done,Should Have,jgarlick,none,#N/A,SLE-19069,#N/A,#N/A,#N/A
SLE-20239,489441,#N/A,hreinecke,Under Review,Could Have,hreinecke,none,#N/A,SLE-20185,Low,Medium,High
SLE-20237,489428,#N/A,#N/A,Planning,Should Have,mhocko,none,#N/A,SLE-20078,Low,Medium,High
SLE-20235,489426,#N/A,#N/A,Rejected,Should Have,mhocko,none,Medium,SLE-20074,Low,Medium,High
SLE-20233,489424,#N/A,#N/A,Blocked,Should Have,mhocko,none,Medium,SLE-20075,Low,Medium,High
SLE-20231,489422,#N/A,#N/A,Rejected,Could Have,mhocko,none,Medium,SLE-20076,Low,Medium,High
SLE-20229,489401,#N/A,mvidner,Done,Could Have,locilka,none,Low,SLE-17782,#N/A,#N/A,#N/A
SLE-20227,489399,#N/A,sballen,Under Review,Should Have,mlatimer,none,Medium,SLE-18776,#N/A,#N/A,#N/A
SLE-20225,489397,#N/A,teclator,In Progress,Should Have,locilka,none,Medium,SLE-18784,#N/A,#N/A,#N/A
SLE-20223,489395,#N/A,#N/A,Done,Should Have,sfent,rmax,#N/A,SLE-18801,#N/A,#N/A,#N/A
SLE-20221,489393,#N/A,#N/A,In Progress,Could Have,BenniBrunner,BenniBrunner,#N/A,SLE-18818,#N/A,#N/A,#N/A
SLE-20219,489391,#N/A,teclator,Done,Could Have,locilka,none,Medium,SLE-18819,#N/A,#N/A,#N/A
SLE-20217,489389,#N/A,#N/A,Open,Could Have,locilka,none,Low,SLE-18820,#N/A,#N/A,#N/A
SLE-20215,489387,#N/A,fbui,Open,Must Have,BenniBrunner,none,High,SLE-18822,#N/A,#N/A,#N/A
SLE-20210,489380,#N/A,#N/A,Rejected,Should Have,locilka,none,#N/A,SLE-19732,#N/A,#N/A,#N/A
SLE-20208,489376,#N/A,#N/A,Planning,Must Have,pgonin,none,#N/A,SLE-19752,#N/A,#N/A,#N/A
SLE-20206,489374,#N/A,#N/A,Planning,Could Have,pgonin,none,#N/A,SLE-19758,#N/A,#N/A,#N/A
SLE-20204,489372,#N/A,#N/A,Rejected,Could Have,pgonin,none,#N/A,SLE-19759,#N/A,#N/A,#N/A
SLE-20202,489370,#N/A,#N/A,Planning,Could Have,pgonin,none,#N/A,SLE-19760,#N/A,#N/A,#N/A
SLE-20200,489368,#N/A,#N/A,Rejected,Could Have,pgonin,none,#N/A,SLE-19761,#N/A,#N/A,#N/A
SLE-20198,489366,#N/A,#N/A,Planning,Could Have,kvanderveer,none,#N/A,SLE-19763,#N/A,#N/A,#N/A
SLE-20196,489363,#N/A,npower,Planning,Should Have,jmcdough,none,Medium,SLE-17834,#N/A,#N/A,#N/A
SLE-20644,490535,holgisms,hreinecke,Planning,Should Have,hreinecke,none,Medium,SLE-19279,#N/A,#N/A,#N/A
